Device,Device Group,First Name,Device ID,User ID,Last Name,Driver,Driver Group,Depart Date,Start Date,Start During Work Hours,Driving Duration,Stop Date,Stop During Work Hours,Distance,Stop Duration,Origin,Destination,Stop Zone Types,Idling Duration,Maximum Speed,Start of Trip Engine Hours,End of Trip Engine Hours,Linked Assets
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.30706,46272.30706,FALSE,0.001155938,46272.30822,FALSE,0.033395797,0.020544711,"49PV+JC5, Barbados, 117827,Lennox Alexander: Highway 2, Barbados","49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados",Customer Zone,4.62963E-05,3,235.6291667,235.6291667,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.32876,46272.32876,FALSE,0.000415938,46272.32918,FALSE,0.036735371,0.007338692,"49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados","49PV+JC5, Barbados, SMJ Barbados Head Office: 1st Avenue Lowland Drive, Barbados","Customer Zone, Office Zone",0.000138889,0,235.6291667,235.6333333,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.33652,46272.33652,TRUE,0.005624271,46272.34214,TRUE,1.100342035,0.032268519,"49PV+JC5, Barbados, SMJ Barbados Head Office: 1st Avenue Lowland Drive, Barbados","Warrens, Barbados",0,0.032268519,44,235.6333333,235.6712156,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.37441,46272.37441,TRUE,0.002175926,46272.37659,TRUE,0.919378757,0.017037037,"Warrens, Barbados","49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados",Customer Zone,0.017037037,52,235.6712156,235.6896754,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.39362,46272.39362,TRUE,0.003125,46272.39675,TRUE,1.033724427,0.004583333,"49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados","Warrens, Barbados",0,0.004583333,44,235.6896754,235.6981476,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.40133,46272.40133,TRUE,0.002662037,46272.40399,TRUE,1.068529248,0.01181713,"Warrens, Barbados","Warrens Industrial Park Dr, Barbados",0,0.01181713,59,235.6981476,235.7115735,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.41581,46272.41581,TRUE,0.003101852,46272.41891,TRUE,0.116420709,0.022037037,"Warrens Industrial Park Dr, Barbados","Highway 2, Saint Michael Barbados",0,0.022037037,9,235.7115735,235.7367011,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.44095,46272.44095,TRUE,0.00494213,46272.44589,TRUE,3.386068344,0.004606481,"Highway 2, Saint Michael Barbados","Hwy 3A, Jackmans, Barbados",0,0.004606481,79,235.7367011,235.7473145,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.4505,46272.4505,TRUE,0.001770833,46272.45227,TRUE,0.536996782,0.006608796,"Hwy 3A, Jackmans, Barbados","4CJ4+5JC, Highway 3, Jackmans, Barbados",0,0.006608796,57,235.7473145,235.7556942,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.45888,46272.45888,TRUE,0.000775463,46272.45965,TRUE,0.036273401,0.006030093,"4CJ4+5JC, Highway 3, Jackmans, Barbados","Hwy 3A, Jackmans, Barbados",0,0.006030093,7,235.7556942,235.7624997,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.46568,46272.46568,TRUE,0.003368056,46272.46905,TRUE,2.107791185,0.009259259,"Hwy 3A, Jackmans, Barbados","#4 Dayrells Commercial Park, Lears Rd, Saint Michael Barbados",0,0.009259259,61,235.7624997,235.775127,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.47831,46272.47831,TRUE,0.003055556,46272.48137,TRUE,1.736943007,0.002349537,"#4 Dayrells Commercial Park, Lears Rd, Saint Michael Barbados","Lot #19 Lears Business Park, Lears Rd, Saint Michael Barbados",0,0.002349537,70,235.775127,235.7805321,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.48372,46272.48372,TRUE,0.006400463,46272.49012,TRUE,5.747075081,0.017222222,"Lot #19 Lears Business Park, Lears Rd, Saint Michael Barbados","Highway 3, Belair, Barbados",0,0.017222222,66,235.7805321,235.8041551,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.50734,46272.50734,TRUE,0.006747685,46272.51409,TRUE,5.231904984,0.016041667,"Highway 3, Belair, Barbados","Highway 3B, Barbados",0,0.016041667,83,235.8041551,235.8269444,0
